år,uke,attributt,verdi
1999,5,Uke_omsatt,6373
1999,6,Uke_omsatt,6883
1999,7,Uke_omsatt,5931
1999,8,Uke_omsatt,6700
1999,9,Uke_omsatt,5505
1999,10,Uke_omsatt,7007
1999,11,Uke_omsatt,5782
1999,12,Uke_omsatt,8043
1999,13,Uke_omsatt,4562
1999,14,Uke_omsatt,6935
1999,15,Uke_omsatt,7168
1999,16,Uke_omsatt,7169
1999,17,Uke_omsatt,7688
1999,18,Uke_omsatt,8160
1999,19,Uke_omsatt,9178
1999,20,Uke_omsatt,8814
1999,21,Uke_omsatt,8786
1999,22,Uke_omsatt,9363
1999,23,Uke_omsatt,10667
1999,24,Uke_omsatt,11675
1999,25,Uke_omsatt,11686
1999,26,Uke_omsatt,13726
1999,27,Uke_omsatt,15685
1999,28,Uke_omsatt,14760
1999,29,Uke_omsatt,15224
1999,30,Uke_omsatt,18893
1999,31,Uke_omsatt,13930
1999,32,Uke_omsatt,13460
1999,33,Uke_omsatt,17976
1999,34,Laks_omsatt,1998
1999,34,Uke_omsatt,15413
1999,35,Laks_omsatt,3995.6410136324453
1999,35,Uke_omsatt,16522
1999,36,Laks_omsatt,3995.6410136324453
1999,36,Uke_omsatt,18936
1999,37,Laks_omsatt,3995.6410136324453
1999,37,Uke_omsatt,17908
1999,38,Laks_omsatt,3995.6410136324453
1999,38,Uke_omsatt,17104
1999,39,Laks_omsatt,3995.6410136324453
1999,39,Uke_omsatt,17149
1999,40,Laks_omsatt,3995.6410136324453
1999,40,Uke_omsatt,14930.64
1999,41,Laks_omsatt,3995.6410136324453
1999,41,Uke_omsatt,14794
1999,42,Laks_omsatt,3995.6410136324453
1999,42,Uke_omsatt,13399
1999,43,Laks_omsatt,3995.6410136324453
1999,43,Uke_omsatt,14427.526
1999,44,Laks_omsatt,3995.6410136324453
1999,44,Uke_omsatt,11597.33
1999,45,Laks_omsatt,3995.6410136324453
1999,45,Uke_omsatt,13805.935000000001
1999,46,Laks_omsatt,3995.6410136324453
1999,46,Uke_omsatt,11377.975
1999,47,Laks_omsatt,3995.6410136324453
1999,47,Uke_omsatt,11498.533
1999,48,Laks_omsatt,3995.6410136324453
1999,48,Uke_omsatt,10181.005000000001
1999,49,Laks_omsatt,3995.6410136324453
1999,49,Uke_omsatt,10158.71
1999,50,Laks_omsatt,3995.6410136324453
1999,50,Uke_omsatt,9731.355
1999,51,Laks_omsatt,3995.6410136324453
1999,51,Uke_omsatt,8612.715
1999,52,Laks_omsatt,3995.6410136324453
1999,52,Uke_omsatt,5261.564
2000,1,Laks_omsatt,3995.6410136324453
2000,1,Uke_omsatt,7349.62
2000,2,Laks_omsatt,3995.6410136324453
2000,2,Uke_omsatt,8475.715
2000,3,Laks_omsatt,3995.6410136324453
2000,3,Uke_omsatt,6528.818
2000,4,Laks_omsatt,3995.6410136324453
2000,4,Uke_omsatt,7231.695
2000,5,Laks_omsatt,3995.6410136324453
2000,5,Uke_omsatt,7360.92
2000,6,Laks_omsatt,3995.6410136324453
2000,6,Uke_omsatt,6847.465
2000,7,Laks_omsatt,3995.6410136324453
2000,7,Uke_omsatt,7603.6849999999995
2000,8,Laks_omsatt,3995.6410136324453
2000,8,Uke_omsatt,7383.115
2000,9,Laks_omsatt,3995.6410136324453
2000,9,Uke_omsatt,6751.56
2000,10,Laks_omsatt,3995.6410136324453
2000,10,Uke_omsatt,6520.1190000000006
2000,11,Laks_omsatt,3995.6410136324453
2000,11,Uke_omsatt,5777.305
2000,12,Laks_omsatt,3995.6410136324453
2000,12,Uke_omsatt,7762.345
2000,13,Laks_omsatt,3995.6410136324453
2000,13,Uke_omsatt,7445.98
2000,14,Laks_omsatt,3995.6410136324453
2000,14,Uke_omsatt,7781.845
2000,15,Laks_omsatt,3995.6410136324453
2000,15,Uke_omsatt,8955.412
2000,16,Laks_omsatt,3995.6410136324453
2000,16,Uke_omsatt,5897.605
2000,17,Laks_omsatt,3995.6410136324453
2000,17,Uke_omsatt,10560.805
2000,18,Laks_omsatt,3995.6410136324453
2000,18,Uke_omsatt,9625.139
2000,19,Laks_omsatt,3995.6410136324453
2000,19,Uke_omsatt,9609.015
2000,20,Laks_omsatt,3995.6410136324453
2000,20,Uke_omsatt,9531.365
2000,21,Laks_omsatt,3995.6410136324453
2000,21,Uke_omsatt,12641.94
2000,22,Laks_omsatt,3995.6410136324453
2000,22,Uke_omsatt,11373.74
2000,23,Laks_omsatt,3995.6410136324453
2000,23,Uke_omsatt,12587.08
2000,24,Laks_omsatt,3995.6410136324453
2000,24,Uke_omsatt,12683.185000000001
2000,25,Laks_omsatt,3995.6410136324453
2000,25,Uke_omsatt,12292.89
2000,26,Laks_omsatt,3995.6410136324453
2000,26,Uke_omsatt,20062.36
2000,27,Laks_omsatt,3995.6410136324453
2000,27,Uke_omsatt,16076.135
2000,28,Laks_omsatt,3995.6410136324453
2000,28,Uke_omsatt,17480.73
2000,29,Laks_omsatt,3995.6410136324453
2000,29,Uke_omsatt,18811.75
