ApplicationNo,CreatedAt,Status,Type,Title,ApplicantOrgNumber,ApplicantOrgName,WithdrawnAt,SubmittedAt,OverallResult,EvaluationFinishedAt,DecisionResult,DecisionTime,ProcessingDays
SP-2025-001983,2025-06-19T12:26:23.712299Z,SUBMITTED,CHANGE_SITE,BÅSEN,926968955,SINKABERG HAVBRUK AS,,,PENDING,,,,
SP-2025-001984,2025-06-20T06:39:57.962159Z,SUBMITTED,NEW_SITE,Selvågneset,997411781,FREMSKRIDT LAKS AS,,,PENDING,,,,
SP-2025-001985,2025-06-21T08:28:45.084793Z,SUBMITTED,CHANGE_SITE,GRØNSET,974526441,NORDIC HALIBUT AS,,,PENDING,,,,
SP-2025-001986,2025-06-21T10:00:03.093196Z,PROCESSED,OTHER_FISH_SPECIES,Dromnessundet,974526441,NORDIC HALIBUT AS,,,PENDING,,,,
SP-2025-001987,2025-06-24T11:19:20.657122Z,PROCESSED,CO_LOCATION_APPLICATION,SKARVFJELL,985940460,LERØY AURORA AS,,,PENDING,,,,
SP-2025-001988,2025-06-24T12:12:26.876857Z,SUBMITTED,LAND_BASED_AQUACULTURE,Sjølseng,989278835,NOFIMA AS,,,PENDING,,,,
SP-2025-001989,2025-06-25T09:53:11.813129Z,PROCESSED,CO_LOCATION_APPLICATION,HAVSTEIN SØR,976253744,LETSEA AS,,,PENDING,,,,
SP-2025-002022,2025-06-26T08:13:04.976544Z,SUBMITTED,SPECIAL_INTENTION,Søknad om særlige formål,966840528,SALMAR FARMING AS,,,PENDING,,,,
SP-2025-002023,2025-06-27T11:19:54.947664Z,SUBMITTED,OTHER_FISH_SPECIES,Vorfjorden,935067081,MULTIGEN GADUS AS,,,PENDING,,,,
SP-2025-002024,2025-06-30T09:24:31.287408Z,PROCESSED,CO_LOCATION_APPLICATION,ORHOLMEN,944183779,MØRE OG ROMSDAL FYLKESKOMMUNE,,,PENDING,,,,
SP-2025-002025,2025-07-01T10:23:26.092431Z,PROCESSED,LAND_BASED_AQUACULTURE,45177 Mongstad,928786994,ABP AQUA MONGSTAD AS,,,PENDING,,,,
SP-2025-002026,2025-07-02T05:41:28.373777Z,PROCESSED,CHANGE_SITE,ØRNØYA,928957489,SALMAR OPPDRETT AS,,,PENDING,,,,
SP-2025-002027,2025-07-03T09:20:51.597185Z,PROCESSED,CHANGE_SITE,KATTHOLMEN,928957489,SALMAR OPPDRETT AS,,,PENDING,,,,
SP-2025-002028,2025-07-04T12:31:23.196249Z,SUBMITTED,SPECIAL_INTENTION,LOFOTEN SJØPRODUKTER AS,943609551,LOFOTEN SJØPRODUKTER AS,,,PENDING,,,,
SP-2025-002029,2025-07-11T07:34:40.705319Z,PROCESSED,SPECIAL_INTENTION,SALAKS SLAKTERI AS,921896417,SALAKS SLAKTERI AS,,,PENDING,,,,
SP-2025-002030,2025-07-11T09:08:10.029810Z,PROCESSED,CO_LOCATION_APPLICATION,GARVIK,866751242,EIDE FJORDBRUK AS,,,PENDING,,,,
SP-2025-002031,2025-07-15T11:15:30.321090Z,PROCESSED,SPECIAL_INTENTION,GRIEG SEAFOOD ROGALAND AS,838065392,GRIEG SEAFOOD ROGALAND AS,,,PENDING,,,,
SP-2025-002032,2025-07-18T11:31:08.444100Z,WITHDRAWN,CO_LOCATION_APPLICATION,STORSKJERET,963201230,VESO AS,,,PENDING,,,,
SP-2025-002033,2025-07-18T12:01:41.042674Z,PROCESSED,CO_LOCATION_APPLICATION,STORSKJERET,963201230,VESO AS,,,PENDING,,,,
SP-2025-002034,2025-07-21T11:16:55.862237Z,WITHDRAWN,SPECIAL_INTENTION,FLAKSTADVÅG LAKS AS,858000742,FLAKSTADVÅG LAKS AS,,,PENDING,,,,
SP-2025-002035,2025-07-21T11:24:02.698440Z,PROCESSED,SPECIAL_INTENTION,FLAKSTADVÅG LAKS AS,858000742,FLAKSTADVÅG LAKS AS,,,PENDING,,,,
SP-2025-002036,2025-07-22T11:00:28.655658Z,SUBMITTED,NON_FISH_SPECIES,Småskjæran,927116758,BACASSA SEAWEED AS,,,PENDING,,,,
SP-2025-002037,2025-07-22T13:39:30.231388Z,SUBMITTED,NON_FISH_SPECIES,Svinvika,993326852,PLANKTONIC AS,,,PENDING,,,,
SP-2025-002038,2025-07-23T08:02:57.525247Z,SUBMITTED,NON_FISH_SPECIES,Lianeset,919116617,PRONOFA MØRE AS,,,PENDING,,,,
SP-2025-002039,2025-07-23T08:33:18.455592Z,RETURNED,NEW_SITE,Skjellnes,988365777,GRATANGLAKS AS,,,PENDING,,,,
SP-2025-002040,2025-07-31T10:22:19.651176Z,PROCESSED,NON_FISH_SPECIES,Slåtterøya,921216203,EQUIMAR AS,,,PENDING,,,,
SP-2025-002041,2025-07-31T10:56:59.068233Z,PROCESSED,CO_LOCATION_APPLICATION,HISDALEN,941541240,TOMBRE FISKEANLEGG AS,,,PENDING,,,,
SP-2025-002042,2025-07-31T14:52:19.681601Z,SUBMITTED,LAND_BASED_AQUACULTURE,Myklebust,928487423,OCEAN GEM AS,,,PENDING,,,,
SP-2025-002043,2025-07-31T14:55:54.023671Z,SUBMITTED,LAND_BASED_AQUACULTURE,Myklebust,928487423,OCEAN GEM AS,,,PENDING,,,,
SP-2025-002044,2025-08-05T10:06:47.121838Z,SUBMITTED,MINOR_AREA_CHANGES,ISTERVIKA,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002045,2025-08-07T06:25:03.979021Z,PROCESSED,CO_LOCATION_APPLICATION,KALSØYFLU,914380553,FYLKESNES FISK AS,,,PENDING,,,,
SP-2025-002046,2025-08-07T14:11:49.053832Z,PROCESSED,CO_LOCATION_APPLICATION,SLØNGA,929601610,LOVUNDLAKS SJØ AS,,,PENDING,,,,
SP-2025-002047,2025-08-11T07:59:26.838340Z,WITHDRAWN,CO_LOCATION_APPLICATION,HOSENØYAN,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002048,2025-08-11T08:00:29.851772Z,WITHDRAWN,CO_LOCATION_APPLICATION,REIRÅKLAKKEN,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002049,2025-08-11T08:02:43.816217Z,PROCESSED,CO_LOCATION_APPLICATION,ANDHOLMEN 1,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002050,2025-08-11T08:06:42.365251Z,WITHDRAWN,CO_LOCATION_APPLICATION,RATAREN,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002051,2025-08-15T08:02:53.888608Z,WITHDRAWN,CO_LOCATION_MESSAGE,DAUMANNSVIKA,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002052,2025-08-15T08:04:17.017515Z,WITHDRAWN,CO_LOCATION_MESSAGE,SKYSSELVIKA V,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002053,2025-08-15T08:05:39.498465Z,WITHDRAWN,CO_LOCATION_MESSAGE,ØKSENGÅRD,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002054,2025-08-15T08:06:46.915280Z,WITHDRAWN,CO_LOCATION_MESSAGE,LEIVSETHAMRAN,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002055,2025-08-15T08:07:43.629520Z,WITHDRAWN,CO_LOCATION_MESSAGE,STORVIKA I SKJERSTADFJORDEN,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002056,2025-08-15T08:08:40.176747Z,WITHDRAWN,CO_LOCATION_MESSAGE,HUNDHOLMEN,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002057,2025-08-15T11:55:28.902685Z,SUBMITTED,NEW_SITE,Levringen,994300474,MÅSØVAL LISENS AS,,,PENDING,,,,
SP-2025-002058,2025-08-15T12:00:01.043251Z,SUBMITTED,SPECIAL_INTENTION,SVANØY HAVBRUK AS,988718181,SVANØY HAVBRUK AS,,,PENDING,,,,
SP-2025-002059,2025-08-15T12:47:55.183571Z,PROCESSED,CHANGE_SITE,GRØTTINGSØY,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002060,2025-08-18T08:22:18.743788Z,PROCESSED,CHANGE_SITE,DAUMANNSVIKA,947038877,EDELFARM AS,,,PENDING,,,,
SP-2025-002061,2025-08-19T13:22:41.020474Z,PROCESSED,CO_LOCATION_APPLICATION,NORDBOTNET,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2025-002062,2025-08-19T13:27:55.253122Z,PROCESSED,CO_LOCATION_APPLICATION,SKOGSHOLMEN,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2025-002063,2025-08-22T13:35:36.270479Z,SUBMITTED,CHANGE_SITE,DJUPEVIK,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002064,2025-08-25T08:18:37.558741Z,PROCESSED,CO_LOCATION_APPLICATION,BONDØYA,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002065,2025-08-25T08:44:10.419411Z,PROCESSED,CO_LOCATION_APPLICATION,KLUNGSET,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002066,2025-08-25T08:44:15.285893Z,PROCESSED,CO_LOCATION_APPLICATION,GJERDINGA,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002067,2025-08-25T08:44:19.569892Z,PROCESSED,CO_LOCATION_APPLICATION,KRÅKØYA,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
