ApplicationNo,CreatedAt,Status,Type,Title,ApplicantOrgNumber,ApplicantOrgName,WithdrawnAt,SubmittedAt,OverallResult,EvaluationFinishedAt,DecisionResult,DecisionTime,ProcessingDays
SP-2025-002151,2025-10-22T08:44:53.181922Z,PROCESSED,CO_LOCATION_APPLICATION,KVIKSHOLMEN,956876354,TROLAND LAKSEOPPDRETT AS,,,PENDING,,,,
SP-2025-002152,2025-10-24T06:32:19.910606Z,PROCESSED,CO_LOCATION_APPLICATION,GRUNNSØYA,997152743,E. KARSTENSEN FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002153,2025-10-27T08:00:46.545728Z,WITHDRAWN,CO_LOCATION_MESSAGE,LYBERGSVIKA,966840528,SALMAR FARMING AS,,,PENDING,,,,
SP-2025-002154,2025-10-28T12:23:43.155407Z,SUBMITTED,CHANGE_SITE,KALVHYLLA,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2025-002155,2025-10-28T14:15:39.967028Z,SUBMITTED,CHANGE_SITE,KALVØYA,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2025-002156,2025-10-29T07:28:05.379380Z,SUBMITTED,SPECIAL_INTENTION,LETSEA AS,976253744,LETSEA AS,,,PENDING,,,,
SP-2025-002157,2025-10-29T10:19:34.036346Z,PROCESSED,CO_LOCATION_APPLICATION,ØRNES,947672134,KVARØY FISKEOPPDRETT A/S,,,PENDING,,,,
SP-2025-002158,2025-10-29T11:52:55.763544Z,SUBMITTED,LAND_BASED_AQUACULTURE,Leines,976253744,LETSEA AS,,,PENDING,,,,
SP-2025-002159,2025-10-29T12:52:52.880867Z,RETURNED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,987245069,NAMDAL SETTEFISK AS,,,PENDING,,,,
SP-2025-002160,2025-10-29T13:38:32.397037Z,RETURNED,NEW_SITE,Segelnes,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002161,2025-10-29T14:48:04.182398Z,PROCESSED,SPECIAL_INTENTION,SLAKTERIET AS,996679489,SLAKTERIET AS,,,PENDING,,,,
SP-2025-002194,2025-10-30T10:44:25.952435Z,PROCESSED,CO_LOCATION_APPLICATION,STIGVIKA,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002195,2025-10-30T10:45:09.829926Z,PROCESSED,CO_LOCATION_APPLICATION,LEIRVIK,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002196,2025-10-30T10:45:33.298388Z,PROCESSED,CO_LOCATION_APPLICATION,RØSSØYA N,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002197,2025-10-30T10:45:55.401725Z,PROCESSED,CO_LOCATION_APPLICATION,MIDT FEMRIS,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002198,2025-10-30T10:46:26.517541Z,WITHDRAWN,CO_LOCATION_APPLICATION,HALLSTEINHAMN I,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002199,2025-10-30T10:47:19.700046Z,PROCESSED,CO_LOCATION_APPLICATION,STOREVIKA,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2025-002200,2025-10-31T07:04:59.204697Z,PROCESSED,CO_LOCATION_APPLICATION,STOREVIKA,947038877,EDELFARM AS,,,PENDING,,,,
SP-2025-002201,2025-10-31T07:11:49.494652Z,PROCESSED,CO_LOCATION_APPLICATION,MIDT FEMRIS,947038877,EDELFARM AS,,,PENDING,,,,
SP-2025-002202,2025-10-31T07:13:23.618829Z,PROCESSED,CO_LOCATION_APPLICATION,RØSSØYA N,947038877,EDELFARM AS,,,PENDING,,,,
SP-2025-002203,2025-10-31T07:16:14.233141Z,PROCESSED,CO_LOCATION_APPLICATION,LEIRVIK,947038877,EDELFARM AS,,,PENDING,,,,
SP-2025-002204,2025-10-31T07:18:08.176895Z,PROCESSED,CO_LOCATION_APPLICATION,STIGVIKA,947038877,EDELFARM AS,,,PENDING,,,,
SP-2025-002205,2025-10-31T07:30:13.346877Z,SUBMITTED,CO_LOCATION_APPLICATION,STOREVIKA,916917031,SALTEN FOU AS,,,PENDING,,,,
SP-2025-002206,2025-10-31T07:31:48.052331Z,SUBMITTED,CO_LOCATION_APPLICATION,HALLSTEINHAMN I,916917031,SALTEN FOU AS,,,PENDING,,,,
SP-2025-002207,2025-10-31T07:33:44.016912Z,SUBMITTED,CO_LOCATION_APPLICATION,MIDT FEMRIS,916917031,SALTEN FOU AS,,,PENDING,,,,
SP-2025-002208,2025-10-31T07:35:16.030210Z,SUBMITTED,CO_LOCATION_APPLICATION,RØSSØYA N,916917031,SALTEN FOU AS,,,PENDING,,,,
SP-2025-002209,2025-10-31T07:36:37.441092Z,SUBMITTED,CO_LOCATION_APPLICATION,LEIRVIK,916917031,SALTEN FOU AS,,,PENDING,,,,
SP-2025-002210,2025-10-31T07:38:20.184169Z,SUBMITTED,CO_LOCATION_APPLICATION,STIGVIKA,916917031,SALTEN FOU AS,,,PENDING,,,,
SP-2025-002211,2025-10-31T09:37:36.288267Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,950912278,GILDESKÅL FORSKNINGSSTASJON AS,,,PENDING,,,,
SP-2025-002212,2025-10-31T11:58:20.602724Z,WITHDRAWN,SPECIAL_INTENTION,POLARFEED AS,825504672,POLARFEED AS,,,PENDING,,,,
SP-2025-002213,2025-10-31T12:25:13.072132Z,SUBMITTED,CHANGE_SITE,HELGENESHAMN,929911946,NORDLAKS HAVBRUK AS,,,PENDING,,,,
SP-2025-002214,2025-10-31T12:29:45.164430Z,SUBMITTED,SPECIAL_INTENTION,POLARFEED AS,825504672,POLARFEED AS,,,PENDING,,,,
SP-2025-002247,2025-11-05T12:27:04.918465Z,PROCESSED,LAND_BASED_AQUACULTURE,TJELDBERGODDEN BIOPARK VEST,815276302,TJELDBERGODDEN RENSEFISK AS,,,PENDING,,,,
SP-2025-002248,2025-11-06T09:52:05.889841Z,PROCESSED,LAND_BASED_AQUACULTURE,KJÆRSUNDET V,897741962,NAMDAL RENSEFISK AS,,,PENDING,,,,
SP-2025-002249,2025-11-07T13:33:05.064043Z,PROCESSED,CO_LOCATION_APPLICATION,SKONSENG,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2025-002250,2025-11-11T13:23:06.656811Z,RETURNED,MINOR_AREA_CHANGES,SØRVÆRET,926968955,SINKABERG HAVBRUK AS,,,PENDING,,,,
SP-2025-002251,2025-11-12T07:54:15.692569Z,SUBMITTED,NON_FISH_SPECIES,BRATTFLOGET,993326852,PLANKTONIC AS,,,PENDING,,,,
SP-2025-002252,2025-11-12T08:19:25.667508Z,PROCESSED,CO_LOCATION_APPLICATION,FJORDPRAKKEN,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002253,2025-11-14T09:33:05.507587Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,966840528,SALMAR FARMING AS,,,PENDING,,,,
SP-2025-002254,2025-11-14T13:23:13.084835Z,SUBMITTED,CHANGE_SITE,SKÅLSVIKA,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2025-002255,2025-11-14T13:46:17.441301Z,RETURNED,OTHER_FISH_SPECIES,Toftekalven,983356494,STERLING WHITE HALIBUT AS,,,PENDING,,,,
SP-2025-002288,2025-11-20T10:46:20.837130Z,SUBMITTED,LAND_BASED_AQUACULTURE,FJELLSÆ I,964118191,MOWI ASA,,,PENDING,,,,
SP-2025-002289,2025-11-20T14:27:34.981195Z,PROCESSED,CO_LOCATION_APPLICATION,KVIKSHOLMEN,829512572,LANGØYLAKS AS,,,PENDING,,,,
SP-2025-002290,2025-11-21T08:10:01.535910Z,SUBMITTED,SPECIAL_INTENTION,SEASHORE SJØ AS,836597702,SEASHORE SJØ AS,,,PENDING,,,,
SP-2025-002291,2025-11-24T10:06:50.359682Z,SUBMITTED,OTHER_FISH_SPECIES,LAMHOLMEN,919228288,CODFARM AS,,,PENDING,,,,
SP-2025-002292,2025-11-24T10:12:23.623968Z,SUBMITTED,CO_LOCATION_APPLICATION,LISMÅSØY,983506925,BENCHMARK GENETICS NORWAY AS,,,PENDING,,,,
SP-2025-002293,2025-11-24T13:09:01.138997Z,SUBMITTED,LAND_BASED_AQUACULTURE,Sirevåg Laks,932081393,SIREVÅG LAKS AS,,,PENDING,,,,
SP-2025-002294,2025-11-24T14:31:46.894558Z,SUBMITTED,MINOR_AREA_CHANGES,SLØNGA,929601610,LOVUNDLAKS SJØ AS,,,PENDING,,,,
SP-2025-002295,2025-11-24T21:12:57.268796Z,SUBMITTED,LAND_BASED_AQUACULTURE,Brukstomta,926924214,TERRÅK INDUSTRIPARK AS,,,PENDING,,,,
SP-2025-002296,2025-11-26T14:06:21.366643Z,SUBMITTED,CHANGE_SITE,KASTEVIKA,933312550,EIDE BRANDASUND AS,,,PENDING,,,,
SP-2025-002298,2025-11-30T21:22:43.355219Z,SUBMITTED,OTHER_FISH_SPECIES,Sandholmtaren,821489962,NORCOD AS,,,PENDING,,,,
SP-2025-002331,2025-12-03T10:26:12.232577Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,933792854,MÅSØVAL AS,,,PENDING,,,,
SP-2025-002332,2025-12-08T08:58:27.855230Z,SUBMITTED,SPECIAL_INTENTION,SALMO INNOVATION AS,915021352,SALMO INNOVATION AS,,,PENDING,,,,
SP-2025-002333,2025-12-12T14:02:20.750333Z,SUBMITTED,CHANGE_SITE,ELVEVIKA,930152366,CERMAQ NORWAY SALMON AS,,,PENDING,,,,
SP-2025-002334,2025-12-12T14:07:54.738169Z,SUBMITTED,LAND_BASED_AQUACULTURE,Tjernagel,933725391,NASJONALT SENTER FOR UTVIKLING AV NYE MARINE OPPDRETTSARTER NUM AS,,,PENDING,,,,
SP-2025-002335,2025-12-15T11:14:48.517473Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,964367701,AQUAGEN AS,,,PENDING,,,,
SP-2025-002336,2025-12-15T11:17:08.254584Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,964367701,AQUAGEN AS,,,PENDING,,,,
SP-2025-002337,2025-12-15T13:00:18.660121Z,RETURNED,CO_LOCATION_APPLICATION,FLOTENESET,959473706,AUSTEVOLL MELAKS AS,,,PENDING,,,,
SP-2025-002338,2025-12-16T21:00:36.995485Z,PROCESSED,CO_LOCATION_APPLICATION,GUDMUNDSET,921709218,NORSK EDELFISK HAVBRUK AS,,,PENDING,,,,
SP-2025-002339,2025-12-16T22:53:33.782464Z,WITHDRAWN,NON_FISH_SPECIES,TF-64,925795089,GAMST SHILOVA AS,,,PENDING,,,,
SP-2025-002340,2025-12-17T11:21:29.479796Z,SUBMITTED,NON_FISH_SPECIES,Nordfoldleira I,814439062,FOLLA ALGER AS,,,PENDING,,,,
SP-2025-002341,2025-12-17T11:22:33.207936Z,RETURNED,NON_FISH_SPECIES,VINKFJORDEN ALGE,814439062,FOLLA ALGER AS,,,PENDING,,,,
SP-2025-002342,2025-12-17T11:29:46.232394Z,SUBMITTED,RESEARCH_EXTENSION,Forlengelse av forskningstillatelse,814439062,FOLLA ALGER AS,,,PENDING,,,,
SP-2025-002343,2025-12-18T13:15:40.234095Z,PROCESSED,CO_LOCATION_APPLICATION,STIGVIKA,950912278,GILDESKÅL FORSKNINGSSTASJON AS,,,PENDING,,,,
SP-2025-002344,2025-12-22T10:22:29.724169Z,PROCESSED,SPECIAL_INTENTION,EIDE BRANDASUND AS,933312550,EIDE BRANDASUND AS,,,PENDING,,,,
SP-2025-002345,2025-12-22T14:49:20.937697Z,RETURNED,CHANGE_SITE,SKARVBERGET,858000742,FLAKSTADVÅG LAKS AS,,,PENDING,,,,
SP-2025-002346,2025-12-23T11:02:44.285794Z,PROCESSED,LAND_BASED_AQUACULTURE,ONARHEIM,992259418,ONARHEIM BRUK AS,,,PENDING,,,,
SP-2025-002347,2025-12-23T13:17:35.133768Z,SUBMITTED,OTHER_FISH_SPECIES,FROSVIKA,821489962,NORCOD AS,,,PENDING,,,,
SP-2026-002348,2026-01-02T14:04:11.681080Z,WITHDRAWN,CO_LOCATION_APPLICATION,BREMNESØYA,929535081,HOLMØY HAVBRUK AS,,,PENDING,,,,
SP-2026-002349,2026-01-06T12:44:13.280747Z,SUBMITTED,NEW_SITE,Kasterholmen,930155179,LERØY AURORA SJØ AS,,,PENDING,,,,
SP-2026-002350,2026-01-06T13:03:53.181652Z,SUBMITTED,NEW_SITE,Mattisnes,930155179,LERØY AURORA SJØ AS,,,PENDING,,,,
SP-2026-002351,2026-01-06T13:21:21.837593Z,SUBMITTED,NEW_SITE,Smørvika,930155179,LERØY AURORA SJØ AS,,,PENDING,,,,
SP-2026-002352,2026-01-09T07:12:36.785679Z,WITHDRAWN,SPECIAL_INTENTION,FLAKSTADVÅG LAKS AS,858000742,FLAKSTADVÅG LAKS AS,,,PENDING,,,,
SP-2026-002353,2026-01-09T09:12:42.618038Z,PROCESSED,CO_LOCATION_APPLICATION,MANGVARDAN,929601610,LOVUNDLAKS SJØ AS,,,PENDING,,,,
SP-2026-002386,2026-01-12T14:19:17.005490Z,SUBMITTED,CHANGE_SITE,FLOTENESET,959473706,AUSTEVOLL MELAKS AS,,,PENDING,,,,
SP-2026-002387,2026-01-13T14:19:12.362773Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,858000742,FLAKSTADVÅG LAKS AS,,,PENDING,,,,
SP-2026-002388,2026-01-14T12:04:26.185345Z,PROCESSED,SPECIAL_INTENTION,SLAKTERIET BREKKE AS,979598009,SLAKTERIET BREKKE AS,,,PENDING,,,,
SP-2026-002389,2026-01-15T11:09:28.837415Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,966840528,SALMAR FARMING AS,,,PENDING,,,,
SP-2026-002390,2026-01-16T07:41:20.729156Z,SUBMITTED,CO_LOCATION_APPLICATION,BREMNESØYA,929535081,HOLMØY HAVBRUK AS,,,PENDING,,,,
SP-2026-002391,2026-01-19T11:56:45.675947Z,SUBMITTED,MINOR_AREA_CHANGES,STORBUKT,930155179,LERØY AURORA SJØ AS,,,PENDING,,,,
SP-2026-002392,2026-01-20T14:19:52.936300Z,SUBMITTED,CHANGE_SITE,AUSTVIKA,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2026-002393,2026-01-21T12:19:33.517417Z,SUBMITTED,NEW_SITE,Floteneset ,920002218,OSLAND SEAFOOD AS,,,PENDING,,,,
SP-2026-002394,2026-01-27T13:16:02.911623Z,SUBMITTED,CHANGE_SITE,KLIPEN,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2026-002395,2026-01-27T14:14:08.967824Z,SUBMITTED,LAND_BASED_AQUACULTURE,ADAMSELV,961922976,CERMAQ NORWAY AS,,,PENDING,,,,
SP-2026-002396,2026-01-28T11:37:17.522184Z,SUBMITTED,RESEARCH,Søknad om forskningstillatelse,988718181,SVANØY HAVBRUK AS,,,PENDING,,,,
SP-2026-002397,2026-01-28T15:32:55.102148Z,PROCESSED,CO_LOCATION_APPLICATION,STIGVIKA,952217860,ISQUEEN AS,,,PENDING,,,,
SP-2026-002398,2026-01-29T11:15:43.405582Z,SUBMITTED,RESEARCH,Søknad om forskningstillatelse,928923258,MULTIGEN AKVA AS,,,PENDING,,,,
SP-2026-002399,2026-02-02T07:08:02.992296Z,WITHDRAWN,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,932186497,BJØRØYA AS,,,PENDING,,,,
SP-2026-002400,2026-02-03T07:22:48.023871Z,SUBMITTED,CHANGE_SITE,SKARVBERGET,858000742,FLAKSTADVÅG LAKS AS,,,PENDING,,,,
SP-2026-002401,2026-02-03T19:35:39.945273Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,996679489,SLAKTERIET AS,,,PENDING,,,,
SP-2026-002402,2026-02-04T11:00:03.988447Z,PROCESSED,CO_LOCATION_APPLICATION,DRØNO,956876354,TROLAND LAKSEOPPDRETT AS,,,PENDING,,,,
SP-2026-002403,2026-02-05T14:13:49.198535Z,SUBMITTED,NON_FISH_SPECIES,Slemmestad,948778599,MILJØSTIFTELSEN BELLONA,,,PENDING,,,,
SP-2026-002404,2026-02-05T15:04:26.680773Z,SUBMITTED,NEW_SITE,Skjellnes,988365777,GRATANGLAKS AS,,,PENDING,,,,
SP-2026-002405,2026-02-06T07:57:21.923529Z,SUBMITTED,CHANGE_SITE,LITLEØYA,929911946,NORDLAKS HAVBRUK AS,,,PENDING,,,,
SP-2026-002406,2026-02-06T09:19:02.442787Z,PROCESSED,CO_LOCATION_APPLICATION,FIKSNESET,939174508,TELAVÅG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2026-002407,2026-02-06T13:05:50.668261Z,SUBMITTED,CHANGE_SITE,HESTHOLMEN Ø,935496578,GRIEG SEAFOOD FARMING AS,,,PENDING,,,,
SP-2026-002408,2026-02-09T13:10:21.732386Z,SUBMITTED,NON_FISH_SPECIES,Sandbukta Asker,935080355,HAVSPIRE AS,,,PENDING,,,,
SP-2026-002441,2026-02-12T08:22:19.172616Z,WITHDRAWN,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,979598009,SLAKTERIET BREKKE AS,,,PENDING,,,,
SP-2026-002442,2026-02-12T11:32:22.585964Z,PROCESSED,CO_LOCATION_APPLICATION,DRØNO,956876354,TROLAND LAKSEOPPDRETT AS,,,PENDING,,,,
SP-2026-002443,2026-02-12T15:32:11.335126Z,SUBMITTED,CHANGE_SITE,DJUPVIK,929911946,NORDLAKS HAVBRUK AS,,,PENDING,,,,
SP-2026-002444,2026-02-17T12:15:41.759465Z,SUBMITTED,CHANGE_SITE,MOVIKODDEN N,947672134,KVARØY FISKEOPPDRETT A/S,,,PENDING,,,,
SP-2026-002445,2026-02-17T14:32:02.549634Z,SUBMITTED,LAND_BASED_AQUACULTURE,Kråkøysundet,930901180,POLAR PRAWNS AS,,,PENDING,,,,
SP-2026-002446,2026-02-17T14:48:37.585080Z,SUBMITTED,NEW_SITE,Kalvøya Midt,943609551,LOFOTEN SJØPRODUKTER AS,,,PENDING,,,,
SP-2026-002447,2026-02-18T13:46:31.318064Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,979598009,SLAKTERIET BREKKE AS,,,PENDING,,,,
SP-2026-002448,2026-02-19T10:25:04.679373Z,PROCESSED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,964118191,MOWI ASA,,,PENDING,,,,
SP-2026-002449,2026-02-19T10:44:44.074612Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,964118191,MOWI ASA,,,PENDING,,,,
SP-2026-002450,2026-02-19T14:51:40.542398Z,SUBMITTED,CHANGE_SITE,BRUDEVIKA,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2026-002451,2026-02-19T15:01:51.879640Z,SUBMITTED,NEW_SITE,Kalvøya,996482537,AKVAFUTURE AS,,,PENDING,,,,
SP-2026-002452,2026-02-20T14:58:23.724841Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,932186497,BJØRØYA AS,,,PENDING,,,,
SP-2026-002453,2026-02-23T14:09:19.583004Z,SUBMITTED,CHANGE_SITE,STORE BUKKØY N,929601610,LOVUNDLAKS SJØ AS,,,PENDING,,,,
SP-2026-002454,2026-02-23T14:10:45.111943Z,SUBMITTED,CHANGE_SITE,ØRNES,947672134,KVARØY FISKEOPPDRETT A/S,,,PENDING,,,,
SP-2026-002455,2026-02-24T13:43:22.092834Z,RETURNED,MINOR_AREA_CHANGES,NORDSKAFTET,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2026-002456,2026-02-25T13:33:16.769328Z,SUBMITTED,LAND_BASED_AQUACULTURE,SVARTNES,925795089,GAMST SHILOVA AS,,,PENDING,,,,
SP-2026-002457,2026-02-26T13:14:57.215227Z,PROCESSED,CO_LOCATION_APPLICATION,Ystøya,996236625,SELSØYVIK HAVBRUK AS,,,PENDING,,,,
SP-2026-002458,2026-02-27T13:52:29.476687Z,SUBMITTED,NEW_SITE,Rossvika,996482537,AKVAFUTURE AS,,,PENDING,,,,
SP-2026-002459,2026-03-03T13:34:12.221630Z,SUBMITTED,CHANGE_SITE,BJØRLYKKESTRANDA,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2026-002460,2026-03-05T17:34:40.772315Z,SUBMITTED,CHANGE_SITE,BREIVIKEN,947672134,KVARØY FISKEOPPDRETT A/S,,,PENDING,,,,
SP-2026-002461,2026-03-06T10:52:30.522075Z,PROCESSED,CO_LOCATION_APPLICATION,HONDSKÅR,930185698,LERØY VEST SJØ AS,,,PENDING,,,,
SP-2026-002462,2026-03-06T11:52:13.756222Z,SUBMITTED,CHANGE_SITE,SELSØYVÆR,996236625,SELSØYVIK HAVBRUK AS,,,PENDING,,,,
SP-2026-002463,2026-03-09T09:34:15.201830Z,SUBMITTED,NEW_SITE,Gannflesa,920936482,VIEWPOINT SPIDERCAGE AS,,,PENDING,,,,
SP-2026-002464,2026-03-13T13:41:45.260037Z,SUBMITTED,NEW_SITE,Langøy,930152366,CERMAQ NORWAY SALMON AS,,,PENDING,,,,
SP-2026-002465,2026-03-13T14:09:35.314117Z,SUBMITTED,CHANGE_SITE,BØRØYA,930152366,CERMAQ NORWAY SALMON AS,,,PENDING,,,,
SP-2026-002466,2026-03-16T09:04:16.417830Z,PROCESSED,CO_LOCATION_APPLICATION,KVIKSHOLMEN,829512572,LANGØYLAKS AS,,,PENDING,,,,
SP-2026-002467,2026-03-16T11:37:46.904721Z,SUBMITTED,CO_LOCATION_APPLICATION,ISTERVIKA,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2026-002468,2026-03-16T11:40:21.950305Z,SUBMITTED,CO_LOCATION_APPLICATION,STORSTROMPAN,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2026-002469,2026-03-16T11:41:51.852200Z,SUBMITTED,CO_LOCATION_APPLICATION,HESTVIK,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2026-002470,2026-03-16T11:43:08.004821Z,SUBMITTED,CO_LOCATION_APPLICATION,STORVIKNESET,827248312,NOVA SEA HAVBRUK AS,,,PENDING,,,,
SP-2026-002471,2026-03-17T13:02:36.432145Z,SUBMITTED,OTHER_FISH_SPECIES,Flatskjæret,925155748,KIME AKVA AS,,,PENDING,,,,
SP-2026-002472,2026-03-19T10:08:41.834141Z,SUBMITTED,SPECIAL_INTENTION_SITE_CLEARANCE,Lokalitetsklarering,821311632,VESTLAND FYLKESKOMMUNE,,,PENDING,,,,
SP-2026-002473,2026-03-20T13:20:26.324667Z,SUBMITTED,CHANGE_SITE,JUVIKA B,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2026-002474,2026-03-21T18:29:50.655321Z,SUBMITTED,NON_FISH_SPECIES,Christiania Roklub,926824090,MAREA,,,PENDING,,,,
SP-2026-002475,2026-03-23T08:36:55.223188Z,SUBMITTED,CHANGE_SITE,GRUNNENESET,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2026-002477,2026-03-26T14:05:28.314864Z,SUBMITTED,LAND_BASED_AQUACULTURE,YTRE HARØY,944183779,MØRE OG ROMSDAL FYLKESKOMMUNE,,,PENDING,,,,
SP-2026-002478,2026-03-27T07:07:43.087405Z,SUBMITTED,LAND_BASED_AQUACULTURE,RØYKLIBOTN,958438370,NEPTUN SALMO AS,,,PENDING,,,,
SP-2026-002479,2026-03-27T15:18:14.587336Z,SUBMITTED,SPECIAL_INTENTION,BJØRØYA AS,932186497,BJØRØYA AS,,,PENDING,,,,
