Type,Navn,MMSI,LAST-KAP,ENHET,Ombygd,Kommentar1,Kommentar2
Wellboat,Havørn,259199000,200,m3,,,
Wellboat,Aqua Gripfisk,259420000,630,m3,,,
Wellboat,SEIVÅG,258161000,1000,m3,,,
Wellboat,MOWI STAR,257273900,650,m3,,,
Wellboat,Inter Barents,257055610,1400,m3,,,
Wellboat,Inter Nord,259078000,2900,m3,,,
Wellboat ,VIKABAS,257042270,40,m3,,,
Wellboat ,Aquafisk SR,257328900,140,m3,,,
Silage,BOTRANS,258180000,,,,,
Processing vessel,FIRDA SAVIOR,257609500,75,tonn,,ombygd før 2020,
Processing vessel,HAUGLAKS,259301000,340,tonn,,,
Silage,HORDAFOR 2,259610000,800,,,,
Silage,HORDAFOR 3,258044000,630,,,,
Silage,HORDAFOR 4,258091000,1300,m3,,,
Silage,VAAGTRANS,258274000,350,m3,,,
Silage,HORDAFOR 7,257054580,,,,,
Silage,Scanbio Embla,259134000,,,,,
Silage,Scanbio Akvatrans,257034600,400,m3,,,
Silage,Scanbio Biotrans,259260000,800,m3,,,
Silage,ScanBio Aurora,257228000,700,m3,,,
Silage,ScanBio Dart,257371000,,,,,
Silage,ScanBio Haugfjord,257008000,750,m3,,,
Silage,ScanBio Elida,257114970,,,,,
Silage,MS NOR STAR,630001042,2500,m3,,,
Silage,ScanBio Orateca,219675000,,,,,
Silage,VAROYTRANS,257261000,,,,,
Silage,BAARDSUND,257304000,,,,,
Processing vessel,RONJA MERDØ,257033140,400,tonn,,,
Fish feed carrier,Aqua Fjell,257659800,,,,,
Fish feed carrier,Aqua Fjord,258031000,,,,,
Fish feed carrier,AQUA JUNIOR,258901000,,,,,
Fish feed carrier,BIOSTAR,257629000,,,,,
Fish feed carrier,CANMAR,259496000,,,,,
Fish feed carrier,EIDHOLM,258293000,,,,,
Fish feed carrier,EIDSVAAG MARIN,259405000,,,,,
Fish feed carrier,EIDSVAAG OPAL,257080750,,,,,
Fish feed carrier,EIDSVAAG POLARIS,259221000,,,,,
Fish feed carrier,EIDSVAAG SIRIUS,257414000,,,,,
Fish feed carrier,EIDSVAAG VEGA,257808000,,,,,
Fish feed carrier,EIDSVAAG OMEGA,257607000,,,,,
Fish feed carrier,HØYDAL,257725000,,,,,
Fish feed carrier,NYKSUND,257178000,,,,,
Fish feed carrier,Vestland,219730000,,,,,
Fish feed carrier,ODDRUN WITH,259000790,,,,,
Fish feed carrier,ORION OLYMPUS,258002640,,,,,
Fish feed carrier,PIRHOLM,259998000,,,,,
Fish feed carrier,RIPNES,259397000,,,,,
Fish feed carrier,RUBIN,257421000,,,,,
Fish feed carrier,TERNESKJÆR,258015890,,,,,
Fish feed carrier,VÅGSUND,259991000,,,,,
Fish feed carrier,FOLLA,257701000,,,,,
Fish feed carrier,BORGENFJORD,258746000,,,,,
Fish feed carrier,EIDSVAAG PIONER,258729000,,,,,
Fish feed carrier,WITH HARVEST,257586000,,,,,
Fish feed carrier,WITH MARINE,257644000,,,,,
Fish feed carrier,Vermland,219026083,,,,,
Fish feed carrier,THEIS,257121890,,,,,
Fish feed carrier,MIKAL WITH,259228000,,,,,
Fish feed carrier,WITH FROHAVET,257038590,,,,,
Fish feed carrier,WITH JUNIOR,259120000,,,,,
Fish feed carrier,KRYSSHOLM,257041670,,,,,
Fish feed carrier,SVEASUND,259506000,,,,,
Fish feed carrier,AQUA LADY,258270000,,,,,
Wellboat,Oddøy,258301000,210,m3,,,
Wellboat,Kristoffer Tronds,257660000,5000,m3,,,
Processing vessel,Njord Pioner,257930000,1500,m3,,,
Wellboat,Korsholmen,259695000,650,m3,,,
Silage,Tonny,258043000,400,m3,,,
Fish feed carrier,SYKLUS,258166000,,,,,
Silage,Pelagia Hordafor,258764000,,,,,
Silage,Pelagia Kyst,257061880,,,,,
Silage,HORDAFOR 6,257027910,,,,,
Silage,Scanbio Arnesen,219032948,,,,,
Silage,Scanbio Viking,219031444,,,,,
Silage,Sørdyrøy,257151000,,,,,
Wellboat,Hermon,258449000,90,m3,,,
Wellboat,Viking Saga,259568000,500,m3,,,
Processing vessel,Firda Harvest,259822000,220,tonn,,,
Wellboat,Hordagut,257111010,4700,m3,,,
Delicing vessel,Sea Liberty 1,257539000,,,,,
Silage,Regine,257232800,,,,,
Delicing vessel,Sealicehunter 1,258193000,,,,,
Delicing vessel,Hydro Patriot,257884000,,,,,
Processing vessel,Hordabas,257060960,45,tonn,,,
Processing vessel,Hordafjell,257090840,150,tonn,,nybygg,
Delicing vessel,Sea Admiral,258077000,,,,,
Delicing vessel,Frøy Challenger,258610000,,,,,
Delicing vessel,BB Orca,257812000,,,,,
Delicing vessel,Lautus,257061400,,,,,
Delicing vessel,Smøla Viking,257455000,,,,,
Delicing vessel,Hydro Pioneer,258659000,,,,,
Fish feed carrier,Rotsund,257068010,,,,,
Delicing vessel,Notmann,257891600,,,,,
Delicing vessel,Seisund,257191000,,,,,
Delicing vessel,Eva Elisabeth,257861700,,,,,
Delicing vessel,Frøy Merlin,258857000,,,,,
Wellboat,Frøytrans,258230000,,,,,
Wellboat,Inter Viking,259385000,1040,m3,,,
Wellboat,Inter Scotia,257294000,2500,m3,,,
Delicing vessel,Volt Processor,257039730,,,,,
Wellboat,Rognkjeksa,257072570,50,m3,,,
Wellboat,Navøy,257534500,50,m3,,,
Delicing vessel,Steyer,257012480,,,,,
Delicing vessel,Apollon,257003900,,,,,
Processing vessel,Csaver,257099960,30,tonn,,,
Delicing vessel,EA Luma,257960700,,,,,
Delicing vessel,SLC 04,257046370,,,,,
Delicing vessel,SLC 02,259206000,,,,,
Delicing vessel,SLC 01,257739800,,,,,
Processing vessel,Volt Collector III,,30,tonn,,,
Processing vessel,Volt Collector II,257294500,10,tonn,,,
Processing vessel,Volt Collector,257094310,10,tonn,,,
Processing vessel,Godfisken,257063650,5,tonn,,,
Processing vessel,Sølvfisken,257093980,30,tonn,,nybygg,
Wellboat,Seifjell,257257000,2200,m3,,,
Processing vessel,Havfisken,257119590,40,tonn,,,
Processing vessel,Multi Safety,,,,29/09/2023,ombygd,Opererer I kanada
Processing vessel,Frøymann,257123410,10,tonn,,nybygg,
Processing vessel,Kapp Linné,,350,tonn,,nybygg,
Delicing vessel,Langholmen,259364000,,,,,
Delicing vessel,Marcus,702106000,,,,,
Silage,Haltbakk Comabar,259859000,,,,,
Processing vessel,Seibas,259203000,140,tonn,,,
Processing vessel,Seiboen,257059350,80,tonn,,,
Processing vessel,Straumfjord / Inger V,257480500,,,For torsk,,
Processing vessel,C Provider,259031730,26,tonn,,,
Silage,Isbjørn,258207000,,,,,
Processing vessel,FSV Superior,258030860,33,tonn,,,
Wellboat,Veidnes,258028640,6000,m3,,,
Wellboat,Seigrunn,257747000,8000,m3,,,
Silage,Ålfjord,258026840,,,,,
Wellboat,Firda Eir,259408000,5000,m3,,,
Silage,Pelagia Fjord,259030300,,,,,
Silage,Pelagia Hav,259657000,,,,,
Wellboat,Njord Kya,257905000,2800,m3,,,
Silage,CAT 2,257983500,,,,,
Silage,Bio Navigator,259001980,,,,,
Wellboat,Ro Sunrise,725003905,2800,m3,,,
Wellboat,Frøy Saga,257917000,4500,m3,,,
Delicing vessel,Seifix,257006640,,,,,
Delicing vessel,Enabler One,257746700,,,,,
Processing vessel,Tauroa,258176000,750,tonn,,,
Processing vessel,Tautiki,257719900,750,tonn,,,
Wellboat,Inter Alba,259226000,6500,m3,,,
Wellboat,Ronja Follafoss,259283000,5000,m3,,,
Processing vessel,FDA Emilie,259047530,15,tonn,,,
Processing vessel,Volt Harvest IV,259048600,30,tonn,,,
