year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2024,46,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-11-11T03:59:09+00:00,2024-11-11T18:39:02+00:00,14.66
2024,46,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-11-12T13:13:59+00:00,2024-11-17T18:02:39+00:00,124.81
2024,46,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-11-11T11:34:55+00:00,2024-11-12T12:33:47+00:00,24.98
2024,46,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-11-13T20:26:03+00:00,2024-11-16T09:10:37+00:00,60.74
2024,46,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-11-17T16:21:11+00:00,2024-11-17T22:59:54+00:00,6.65
2024,46,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-11-12T03:00:59.486703+00:00,2024-11-13T00:26:46+00:00,21.43
2024,46,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-11-14T01:05:13.26976+00:00,2024-11-15T02:43:29+00:00,25.64
2024,46,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-11-17T19:01:50.078333+00:00,2024-11-17T22:59:19.448328+00:00,3.96
2024,46,259080000,Volt Harvest I,Processing vessel,150,tonn,Z1805151001083553176NBDJP,ALSVÅG LAKSESLAKTERI AS,ALSVÅG LAKSESLAKTERI AS,N136,2024-11-13T06:47:24+00:00,2024-11-13T14:41:54+00:00,7.91
2024,46,259080000,Volt Harvest I,Processing vessel,150,tonn,Z1805151001083553176NBDJP,ALSVÅG LAKSESLAKTERI AS,ALSVÅG LAKSESLAKTERI AS,N136,2024-11-15T02:15:06+00:00,2024-11-16T09:30:31+00:00,31.26
2024,46,259004230,Volt Harvest II,Processing vessel,330,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-11-12T00:58:45+00:00,2024-11-13T13:51:11+00:00,36.87
2024,46,258120000,Volt Harvest III,Processing vessel,350,tonn,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2024-11-12T05:12:46+00:00,2024-11-12T17:00:26+00:00,11.79
2024,46,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-11T05:26:05+00:00,2024-11-11T18:02:07.381956+00:00,12.6
2024,46,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-12T07:36:46.963186+00:00,2024-11-12T20:26:06.339212+00:00,12.82
2024,46,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-13T07:15:06+00:00,2024-11-13T20:22:25+00:00,13.12
2024,46,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-14T08:02:26.035337+00:00,2024-11-15T07:12:06.714773+00:00,23.16
2024,46,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-11T03:52:54.206976+00:00,2024-11-11T18:55:54.757831+00:00,15.05
2024,46,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-12T02:20:12+00:00,2024-11-12T16:55:24.939527+00:00,14.59
2024,46,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-13T00:52:37.801149+00:00,2024-11-13T14:14:13.331615+00:00,13.36
2024,46,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-14T01:40:48.041395+00:00,2024-11-14T17:17:34.01338+00:00,15.61
2024,46,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-11-15T01:17:26+00:00,2024-11-17T13:33:53.91663+00:00,60.27
2024,46,257215000,Seifisk Jr,Processing vessel,80,tonn,Z0705302155125031190SJEJR,BIRKNES MARTIN E EFTF AS,MARTIN E BIRKNES EFTF AS,SF364,2024-11-11T12:30:01+00:00,2024-11-11T15:02:52.530536+00:00,2.55
2024,46,257215000,Seifisk Jr,Processing vessel,80,tonn,Z0704301423371461190OJVNU,SLAKTERIET AS,SLAKTERIET AS,SF222,2024-11-13T03:43:22+00:00,2024-11-13T21:27:31+00:00,17.74
2024,46,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-11-12T00:06:17.534048+00:00,2024-11-12T14:23:20.736648+00:00,14.28
2024,46,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-11-12T15:34:32.781108+00:00,2024-11-12T19:39:11.123023+00:00,4.08
2024,46,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-11-13T01:02:51.53518+00:00,2024-11-13T12:35:11.799372+00:00,11.54
2024,46,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-11-13T14:21:49.836183+00:00,2024-11-13T16:40:20.750238+00:00,2.31
