year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2024,3,257060720,Taupo,Processing vessel,320,tonn,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2024-01-16T05:04:02+00:00,2024-01-17T15:16:32+00:00,34.21
2024,3,257060720,Taupo,Processing vessel,320,tonn,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2024-01-19T05:32:13+00:00,2024-01-20T05:02:46+00:00,23.51
2024,3,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-15T16:23:57+00:00,2024-01-15T20:50:02+00:00,4.43
2024,3,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-16T20:19:12+00:00,2024-01-17T00:49:33+00:00,4.51
2024,3,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-17T16:58:48+00:00,2024-01-18T00:51:49+00:00,7.88
2024,3,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-18T15:55:34+00:00,2024-01-18T21:12:37+00:00,5.28
2024,3,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-20T10:08:49+00:00,2024-01-21T20:40:10+00:00,34.52
2024,3,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-16T03:11:47.831991+00:00,2024-01-16T10:31:41+00:00,7.33
2024,3,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-16T20:50:44+00:00,2024-01-17T03:19:15+00:00,6.48
2024,3,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-18T06:36:19+00:00,2024-01-19T00:41:46+00:00,18.09
2024,3,259080000,Volt Harvest I,Processing vessel,150,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-16T10:24:24+00:00,2024-01-16T20:48:47+00:00,10.41
2024,3,259080000,Volt Harvest I,Processing vessel,150,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-17T03:25:21.419235+00:00,2024-01-17T08:12:13+00:00,4.78
2024,3,258120000,Volt Harvest III,Processing vessel,350,tonn,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2024-01-14T23:00:20+00:00,2024-01-16T12:50:53+00:00,37.84
2024,3,258120000,Volt Harvest III,Processing vessel,350,tonn,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2024-01-17T01:40:09+00:00,2024-01-18T22:52:50+00:00,45.21
2024,3,258120000,Volt Harvest III,Processing vessel,350,tonn,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2024-01-19T10:32:59+00:00,2024-01-19T18:37:43+00:00,8.08
2024,3,258120000,Volt Harvest III,Processing vessel,350,tonn,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2024-01-20T05:19:53+00:00,2024-01-20T20:01:59+00:00,14.7
2024,3,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-01-15T01:02:48+00:00,2024-01-15T16:44:10.637812+00:00,15.69
2024,3,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-01-16T00:21:49+00:00,2024-01-17T17:00:48+00:00,40.65
2024,3,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-01-18T00:13:30.029102+00:00,2024-01-18T16:02:49+00:00,15.82
2024,3,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-01-18T23:36:30+00:00,2024-01-21T17:49:22+00:00,66.21
2024,3,257121000,SEIBRIS,Processing vessel,80,tonn,Z0704301424162041189ZENLE,SEKKINGSTAD AS,SEKKINGSTAD AS,H112,2024-01-18T12:10:41.319995+00:00,2024-01-18T14:15:15.162895+00:00,2.08
2024,3,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-01-14T23:00:21+00:00,2024-01-16T09:04:41+00:00,34.07
2024,3,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-01-17T01:33:34+00:00,2024-01-18T05:04:12.08019+00:00,27.51
2024,3,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-01-18T19:42:28.542552+00:00,2024-01-21T03:55:01+00:00,56.21
2024,3,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-01-15T01:49:53+00:00,2024-01-15T16:35:04+00:00,14.75
2024,3,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-01-16T22:12:23.809156+00:00,2024-01-17T14:22:42+00:00,16.17
2024,3,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-01-18T21:08:46+00:00,2024-01-20T09:15:48+00:00,36.12
2024,3,258587000,FJORDFISKEN,Processing vessel,110,tonn,Z0704301422039781190YILMC,SOTRA FISKEINDUSTRI AS,SOTRA FISKEINDUSTRI AS,H66,2024-01-15T08:06:57+00:00,2024-01-15T17:56:17+00:00,9.82
2024,3,257659000,RONJA FJORD,Wellboat,1800,m3,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2024-01-14T23:00:59+00:00,2024-01-15T04:01:02+00:00,5.0
2024,3,257659000,RONJA FJORD,Wellboat,1800,m3,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2024-01-15T20:12:52+00:00,2024-01-16T04:05:03+00:00,7.87
2024,3,257659000,RONJA FJORD,Wellboat,1800,m3,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2024-01-16T17:06:09+00:00,2024-01-17T03:59:54+00:00,10.9
2024,3,257659000,RONJA FJORD,Wellboat,1800,m3,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2024-01-17T15:55:23+00:00,2024-01-17T17:26:45+00:00,1.52
2024,3,257659000,RONJA FJORD,Wellboat,1800,m3,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2024-01-20T16:11:05+00:00,2024-01-21T04:05:07+00:00,11.9
