year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2026,16,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-14T02:22:04+00:00,2026-04-15T17:21:54+00:00,39.0
2026,16,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-16T05:27:10+00:00,2026-04-17T13:02:26+00:00,31.59
2026,16,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-17T13:14:26+00:00,2026-04-17T17:59:11+00:00,4.75
2026,16,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-12T22:00:20+00:00,2026-04-13T10:51:11+00:00,12.85
2026,16,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-14T03:28:39+00:00,2026-04-15T10:47:53+00:00,31.32
2026,16,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-15T22:26:13+00:00,2026-04-16T18:15:59+00:00,19.83
2026,16,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-17T13:08:56+00:00,2026-04-17T22:45:01+00:00,9.6
2026,16,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2026-04-18T22:16:19+00:00,2026-04-19T18:51:26+00:00,20.59
2026,16,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2026-04-13T23:22:01+00:00,2026-04-14T16:41:41+00:00,17.33
2026,16,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2026-04-15T22:35:02+00:00,2026-04-16T21:31:51+00:00,22.95
