year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2025,17,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-04-22T00:13:57+00:00,2025-04-23T12:42:28+00:00,36.48
2025,17,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-04-23T23:45:57+00:00,2025-04-25T07:09:21+00:00,31.39
2025,17,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-04-25T08:29:41+00:00,2025-04-27T08:31:27+00:00,48.03
2025,17,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-04-22T22:47:23+00:00,2025-04-24T11:59:29+00:00,37.2
2025,17,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-04-25T00:00:42+00:00,2025-04-27T21:56:43+00:00,69.93
2025,17,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-04-21T14:50:53+00:00,2025-04-21T15:54:46.518837+00:00,1.06
2025,17,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-04-23T01:03:53.57522+00:00,2025-04-23T21:59:50.623611+00:00,20.93
2025,17,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-04-25T00:55:02.990827+00:00,2025-04-25T21:10:30.638432+00:00,20.26
2025,17,257090830,Taumar,Processing vessel,160,tonn,Z0704301423181931190OZNOL,VIKENCO AS,VIKENCO AS,M200,2025-04-26T05:00:30+00:00,2025-04-26T20:03:13+00:00,15.05
2025,17,259004230,Volt Harvest II,Processing vessel,330,tonn,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-04-21T22:33:18+00:00,2025-04-22T20:07:12+00:00,21.57
2025,17,259004230,Volt Harvest II,Processing vessel,330,tonn,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-04-24T01:43:56+00:00,2025-04-24T17:06:16+00:00,15.37
2025,17,258120000,Volt Harvest III,Processing vessel,350,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-04-22T01:33:21+00:00,2025-04-23T07:51:14+00:00,30.3
2025,17,258120000,Volt Harvest III,Processing vessel,350,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-04-23T21:09:04+00:00,2025-04-24T13:57:05+00:00,16.8
2025,17,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-04-20T22:04:56.100809+00:00,2025-04-21T18:15:20.567604+00:00,20.17
2025,17,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-04-22T04:55:46+00:00,2025-04-22T19:22:47.104561+00:00,14.45
2025,17,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-04-23T03:25:46.378852+00:00,2025-04-23T19:33:01.722511+00:00,16.12
2025,17,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-04-24T02:57:01.562181+00:00,2025-04-24T19:33:26.204913+00:00,16.61
