year,week,mmsi,vessel_name,is_wellboat,is_slaughter_boat,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2025,9,257594000,AQUA HAVSØY,True,False,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-02-24T17:59:01+00:00,2025-02-24T22:01:37+00:00,4.04
2025,9,257594000,AQUA HAVSØY,True,False,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-02-26T09:04:15+00:00,2025-02-26T11:54:48+00:00,2.84
2025,9,257594000,AQUA HAVSØY,True,False,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-02-27T17:56:53+00:00,2025-02-27T19:08:35+00:00,1.2
2025,9,257594000,AQUA HAVSØY,True,False,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-03-02T04:21:12+00:00,2025-03-02T06:43:42+00:00,2.38
2025,9,257087580,AQUA MALØY,True,False,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-03-01T03:50:13+00:00,2025-03-01T05:48:45+00:00,1.98
2025,9,257033140,AQUA MERDØ,True,False,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-02-24T00:21:49.202954+00:00,2025-02-25T01:52:26+00:00,25.51
2025,9,257033140,AQUA MERDØ,True,False,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-02-26T03:17:47+00:00,2025-02-27T01:32:45+00:00,22.25
2025,9,257033140,AQUA MERDØ,True,False,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-02-28T01:17:31.893276+00:00,2025-03-01T03:58:30+00:00,26.68
2025,9,257830000,ÅSVÆRFJORD,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-02-25T02:25:35+00:00,2025-02-25T17:05:23+00:00,14.66
2025,9,257830000,ÅSVÆRFJORD,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-02-27T05:30:30+00:00,2025-02-27T07:17:11+00:00,1.78
2025,9,257830000,ÅSVÆRFJORD,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-02-27T07:46:00+00:00,2025-02-27T11:04:07+00:00,3.3
2025,9,257830000,ÅSVÆRFJORD,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-03-01T00:35:31+00:00,2025-03-01T02:26:41+00:00,1.85
2025,9,257830000,ÅSVÆRFJORD,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-03-02T20:14:39+00:00,2025-03-02T22:04:39+00:00,1.83
2025,9,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-02-23T23:00:56+00:00,2025-02-24T13:59:48+00:00,14.98
2025,9,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-02-24T16:23:00+00:00,2025-02-25T06:52:40+00:00,14.49
2025,9,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-02-25T08:30:09+00:00,2025-02-26T06:30:57+00:00,22.01
2025,9,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-02-26T11:06:56+00:00,2025-02-26T21:13:32+00:00,10.11
2025,9,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-02-27T22:37:15+00:00,2025-02-28T00:43:36+00:00,2.11
2025,9,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-02-28T03:45:35+00:00,2025-02-28T06:30:35+00:00,2.75
2025,9,257652000,BJØRG PAULINE,True,False,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-03-01T09:48:56+00:00,2025-03-01T11:42:32+00:00,1.89
2025,9,257557600,CLEAN OCEAN,True,False,Z0704301422039781190YILMC,SOTRA FISKEINDUSTRI AS,SOTRA FISKEINDUSTRI AS,H66,2025-02-26T16:27:57+00:00,2025-02-27T12:32:47+00:00,20.08
2025,9,257557600,CLEAN OCEAN,True,False,Z0704301424162041189ZENLE,SEKKINGSTAD AS,SEKKINGSTAD AS,H112,2025-02-27T21:31:28+00:00,2025-02-28T12:45:28+00:00,15.23
2025,9,257805000,FÆRØYSUND,True,False,Z1805151001083553176NBDJP,ALSVÅG LAKSESLAKTERI AS,ALSVÅG LAKSESLAKTERI AS,N136,2025-02-24T06:00:03+00:00,2025-02-24T07:28:33+00:00,1.48
2025,9,257805000,FÆRØYSUND,True,False,Z1008311010353281042SPYKE,NOVA SEA AS AVD INDUSTRI,NOVA SEA AS,N2413,2025-02-25T20:03:22+00:00,2025-02-25T22:23:52+00:00,2.34
2025,9,257805000,FÆRØYSUND,True,False,Z1008311010353281042SPYKE,NOVA SEA AS AVD INDUSTRI,NOVA SEA AS,N2413,2025-02-27T01:30:14+00:00,2025-02-27T03:29:44+00:00,1.99
2025,9,257805000,FÆRØYSUND,True,False,Z2202231150559570128LKGGT,SALTEN N950 AS,SALTEN N950 AS,N950,2025-02-27T20:14:32+00:00,2025-02-27T22:02:12+00:00,1.79
2025,9,257805000,FÆRØYSUND,True,False,Z2202231150559570128LKGGT,SALTEN N950 AS,SALTEN N950 AS,N950,2025-02-28T20:39:43+00:00,2025-02-28T22:20:13+00:00,1.68
2025,9,257805000,FÆRØYSUND,True,False,Z1805151001083553176NBDJP,ALSVÅG LAKSESLAKTERI AS,ALSVÅG LAKSESLAKTERI AS,N136,2025-03-01T14:01:39+00:00,2025-03-01T15:02:39+00:00,1.02
2025,9,259035000,FRØY HØVDING,True,False,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-02-23T23:00:41+00:00,2025-02-25T13:57:05+00:00,38.94
2025,9,259035000,FRØY HØVDING,True,False,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-03-02T13:37:41+00:00,2025-03-02T22:58:27+00:00,9.35
2025,9,257075000,FRØY JARL,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-02-25T21:43:22+00:00,2025-02-25T22:57:52+00:00,1.24
2025,9,257075000,FRØY JARL,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-02-26T23:49:51+00:00,2025-02-27T01:20:52+00:00,1.52
2025,9,257075000,FRØY JARL,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-02-28T05:13:06+00:00,2025-02-28T07:53:06+00:00,2.67
2025,9,257075000,FRØY JARL,True,False,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-03-01T19:47:07+00:00,2025-03-02T22:59:56+00:00,27.21
2025,9,258100000,FRØY ODIN,True,False,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2025-02-26T06:27:06+00:00,2025-02-26T08:58:28+00:00,2.52
