year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2025,41,257060720,Taupo,Processing vessel,320,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2025-10-11T09:11:45+00:00,2025-10-11T21:03:32+00:00,11.86
2025,41,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-10-06T01:21:29+00:00,2025-10-06T18:47:38+00:00,17.44
2025,41,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-10-08T00:13:24+00:00,2025-10-08T14:09:59+00:00,13.94
2025,41,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-10-10T00:32:43+00:00,2025-10-11T12:35:42+00:00,36.05
2025,41,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-10-12T03:45:33+00:00,2025-10-12T16:13:56+00:00,12.47
2025,41,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-10-07T04:30:50.520187+00:00,2025-10-07T21:43:23.067108+00:00,17.21
2025,41,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-10-09T06:46:40+00:00,2025-10-09T21:41:00.623423+00:00,14.91
2025,41,258232000,Tauranga,Processing vessel,300,tonn,Z1706141540446393251KIQYR,STERLING WHITE HALIBUT AS AVD HJELMELAND,STERLING WHITE HALIBUT AS,R941,2025-10-10T00:17:19+00:00,2025-10-10T06:34:46+00:00,6.29
2025,41,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-10-11T02:32:51.261258+00:00,2025-10-11T22:56:19.520047+00:00,20.39
2025,41,259080000,Volt Harvest I,Processing vessel,150,tonn,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-10-07T16:00:49+00:00,2025-10-08T01:36:46+00:00,9.6
2025,41,259080000,Volt Harvest I,Processing vessel,150,tonn,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-10-08T12:51:41+00:00,2025-10-08T23:30:15+00:00,10.64
2025,41,259080000,Volt Harvest I,Processing vessel,150,tonn,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-10-09T13:01:28+00:00,2025-10-09T21:44:28+00:00,8.72
2025,41,259004230,Volt Harvest II,Processing vessel,330,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-10-06T01:36:51+00:00,2025-10-07T01:05:47+00:00,23.48
2025,41,259004230,Volt Harvest II,Processing vessel,330,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-10-08T07:58:59+00:00,2025-10-08T20:58:50+00:00,13.0
2025,41,259004230,Volt Harvest II,Processing vessel,330,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2025-10-09T08:58:43+00:00,2025-10-12T06:06:54+00:00,69.14
2025,41,258120000,Volt Harvest III,Processing vessel,350,tonn,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2025-10-06T05:53:37+00:00,2025-10-07T03:24:07+00:00,21.51
2025,41,258120000,Volt Harvest III,Processing vessel,350,tonn,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-10-12T17:35:43+00:00,2025-10-12T21:58:04+00:00,4.37
2025,41,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-05T22:02:22+00:00,2025-10-06T16:06:59.210192+00:00,18.08
2025,41,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-07T02:10:59+00:00,2025-10-07T14:36:01+00:00,12.42
2025,41,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-08T02:24:53.624508+00:00,2025-10-08T15:38:35.116781+00:00,13.23
2025,41,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-09T00:44:46.00804+00:00,2025-10-09T15:33:03.995129+00:00,14.8
2025,41,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-10T01:45:30.038337+00:00,2025-10-10T14:39:35.241568+00:00,12.9
2025,41,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-11T02:54:46+00:00,2025-10-11T16:34:24.614025+00:00,13.66
2025,41,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-11T23:57:35.38455+00:00,2025-10-12T16:29:54.680878+00:00,16.54
2025,41,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2025-10-06T05:50:51.562372+00:00,2025-10-06T19:02:09+00:00,13.19
