year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2024,2,257060720,Taupo,Processing vessel,320,tonn,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2024-01-08T04:44:43+00:00,2024-01-08T22:39:12+00:00,17.91
2024,2,257060720,Taupo,Processing vessel,320,tonn,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2024-01-10T08:52:33+00:00,2024-01-10T22:34:14+00:00,13.69
2024,2,257060720,Taupo,Processing vessel,320,tonn,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2024-01-12T06:51:04+00:00,2024-01-12T19:26:22+00:00,12.59
2024,2,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-07T23:02:22+00:00,2024-01-08T04:24:27+00:00,5.37
2024,2,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-08T23:29:20+00:00,2024-01-09T04:26:35+00:00,4.95
2024,2,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-09T19:25:38+00:00,2024-01-10T04:26:08+00:00,9.01
2024,2,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-10T23:24:58+00:00,2024-01-11T04:50:03+00:00,5.42
2024,2,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-11T20:16:33+00:00,2024-01-12T04:42:23+00:00,8.43
2024,2,257077570,Taupiri,Processing vessel,360,tonn,Z2312081417564511049NIUMC,MOWI AVD ULVAN,MOWI ASA,TL45,2024-01-14T15:29:33+00:00,2024-01-14T20:38:10+00:00,5.14
2024,2,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-09T03:56:48+00:00,2024-01-09T23:13:53+00:00,19.28
2024,2,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-11T03:49:21+00:00,2024-01-12T00:56:21.244145+00:00,21.12
2024,2,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-14T07:08:56+00:00,2024-01-14T13:06:36.309388+00:00,5.96
2024,2,259080000,Volt Harvest I,Processing vessel,150,tonn,Z0704301422039781190YILMC,SOTRA FISKEINDUSTRI AS,SOTRA FISKEINDUSTRI AS,H66,2024-01-08T01:49:01+00:00,2024-01-08T13:31:30+00:00,11.71
2024,2,259080000,Volt Harvest I,Processing vessel,150,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-01-12T14:35:28+00:00,2024-01-12T19:25:43.673903+00:00,4.84
