year,week,mmsi,vessel_name,is_wellboat,is_slaughter_boat,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2025,35,257033140,AQUA MERDØ,True,False,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-08-24T22:00:26.157191+00:00,2025-08-25T22:27:25.681419+00:00,24.45
2025,35,257033140,AQUA MERDØ,True,False,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-08-26T23:02:03+00:00,2025-08-27T20:07:25.575784+00:00,21.09
2025,35,257033140,AQUA MERDØ,True,False,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-08-28T22:04:46.407302+00:00,2025-08-30T02:56:25.986454+00:00,28.86
2025,35,257033140,AQUA MERDØ,True,False,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2025-08-31T16:46:24+00:00,2025-08-31T21:58:44.95838+00:00,5.21
2025,35,257563000,AQUA SKILSØY,True,False,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2025-08-24T22:00:06+00:00,2025-08-25T02:39:36+00:00,4.66
2025,35,257563000,AQUA SKILSØY,True,False,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2025-08-28T11:54:26+00:00,2025-08-28T14:17:15+00:00,2.38
2025,35,257563000,AQUA SKILSØY,True,False,Z1110241124575500147KIQZP,ARNØY LAKS SLAKTERI AS,ARNØY LAKS SLAKTERI AS,T107,2025-08-28T22:36:46+00:00,2025-08-29T00:51:36+00:00,2.25
2025,35,257563000,AQUA SKILSØY,True,False,Z1411261442550602024JVRYR,CERMAQ NORWAY AS AVD LAKSESLAKTERI FINNMARK,CERMAQ NORWAY AS,F480,2025-08-30T16:05:36+00:00,2025-08-30T19:20:55+00:00,3.26
2025,35,257563000,AQUA SKILSØY,True,False,Z1110241124575500147KIQZP,ARNØY LAKS SLAKTERI AS,ARNØY LAKS SLAKTERI AS,T107,2025-08-31T07:26:49+00:00,2025-08-31T09:03:28+00:00,1.61
2025,35,257830000,ÅSVÆRFJORD,True,False,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2025-08-29T06:21:29+00:00,2025-08-29T09:10:59+00:00,2.83
2025,35,257830000,ÅSVÆRFJORD,True,False,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2025-08-29T20:46:33+00:00,2025-08-29T23:20:30+00:00,2.57
2025,35,257830000,ÅSVÆRFJORD,True,False,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2025-08-30T08:16:26+00:00,2025-08-30T09:45:36+00:00,1.49
2025,35,257830000,ÅSVÆRFJORD,True,False,Z1304121527398900382BZIIE,PURE NORWEGIAN SEAFOOD AS,PURE NORWEGIAN SEAFOOD AS,M168,2025-08-31T11:58:43+00:00,2025-08-31T15:15:40+00:00,3.28
2025,35,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-08-25T03:53:17+00:00,2025-08-26T09:17:17+00:00,29.4
2025,35,257652000,BJØRG PAULINE,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-08-29T19:33:17+00:00,2025-08-30T01:06:17+00:00,5.55
2025,35,257735000,CASPIAN,True,False,Z1901150954094182025FGIKM,SALAKS SLAKTERI AS,SALAKS SLAKTERI AS,T400,2025-08-25T00:14:42+00:00,2025-08-25T03:45:29+00:00,3.51
2025,35,257735000,CASPIAN,True,False,Z0704301421458251190PVFYH,BREIVOLL MARINE PRODUKTER AS,BREIVOLL MARINE PRODUKTER AS,T436,2025-08-25T11:14:59+00:00,2025-08-25T15:11:55+00:00,3.95
2025,35,257735000,CASPIAN,True,False,Z1805151001083553176NBDJP,ALSVÅG LAKSESLAKTERI AS,ALSVÅG LAKSESLAKTERI AS,N136,2025-08-27T00:54:01+00:00,2025-08-27T02:48:01+00:00,1.9
2025,35,257557600,CLEAN OCEAN,True,False,Z0704301424162041189ZENLE,SEKKINGSTAD AS,SEKKINGSTAD AS,H112,2025-08-25T02:33:22+00:00,2025-08-25T06:13:33+00:00,3.67
2025,35,257557600,CLEAN OCEAN,True,False,Z0705302155125031190SJEJR,BIRKNES MARTIN E EFTF AS,MARTIN E BIRKNES EFTF AS,SF364,2025-08-29T02:46:48+00:00,2025-08-29T05:12:27+00:00,2.43
2025,35,257609500,FIRDA SAVIOR,True,False,Z0705302155125031190SJEJR,BIRKNES MARTIN E EFTF AS,MARTIN E BIRKNES EFTF AS,SF364,2025-08-27T11:10:15+00:00,2025-08-27T13:52:40+00:00,2.71
2025,35,257609500,FIRDA SAVIOR,True,False,Z0705302155125031190SJEJR,BIRKNES MARTIN E EFTF AS,MARTIN E BIRKNES EFTF AS,SF364,2025-08-29T10:05:18+00:00,2025-08-29T15:49:25+00:00,5.74
2025,35,257252000,FREYJA,True,False,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-08-25T01:46:53+00:00,2025-08-25T10:16:53+00:00,8.5
2025,35,257252000,FREYJA,True,False,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-08-26T02:05:52+00:00,2025-08-26T10:07:48+00:00,8.03
2025,35,257252000,FREYJA,True,False,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-08-27T02:21:35+00:00,2025-08-27T10:49:55+00:00,8.47
2025,35,257252000,FREYJA,True,False,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-08-28T02:06:28+00:00,2025-08-28T10:11:22+00:00,8.08
2025,35,257252000,FREYJA,True,False,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2025-08-29T02:03:32+00:00,2025-08-29T09:45:11+00:00,7.69
2025,35,258100000,FRØY ODIN,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-08-25T04:33:22+00:00,2025-08-25T06:19:42+00:00,1.77
2025,35,258100000,FRØY ODIN,True,False,Z2006301013480370128EYQOV,SALMAR AS AVD SLAKTERIANLEGG,SALMAR AS,TF423,2025-08-27T05:49:53+00:00,2025-08-27T07:42:50+00:00,1.88
2025,35,257906000,FRØY VIKING,True,False,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-08-25T04:36:06+00:00,2025-08-25T14:52:20+00:00,10.27
2025,35,257906000,FRØY VIKING,True,False,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-08-26T05:19:46+00:00,2025-08-26T15:19:34+00:00,10.0
2025,35,257906000,FRØY VIKING,True,False,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-08-27T04:48:38+00:00,2025-08-27T11:34:05+00:00,6.76
2025,35,257906000,FRØY VIKING,True,False,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-08-28T01:52:55+00:00,2025-08-28T11:19:44+00:00,9.45
2025,35,257906000,FRØY VIKING,True,False,Z1804261725539163252QJAZX,LERØY MIDT AS AVD PRODUKSJON OG ADMINISTRASJON,LERØY MIDT AS,ST337,2025-08-29T00:15:25+00:00,2025-08-29T12:13:04+00:00,11.96
2025,35,257699000,GROTANGER,True,False,Z0704301422333911190OOGQB,ASTAFJORD SLAKTERI AS,ASTAFJORD SLAKTERI AS,T470,2025-08-29T20:37:38+00:00,2025-08-30T01:53:13+00:00,5.26
2025,35,257699000,GROTANGER,True,False,Z0704301421458251190PVFYH,BREIVOLL MARINE PRODUKTER AS,BREIVOLL MARINE PRODUKTER AS,T436,2025-08-30T11:05:37+00:00,2025-08-30T19:38:13+00:00,8.54
2025,35,257699000,GROTANGER,True,False,Z0704301422333911190OOGQB,ASTAFJORD SLAKTERI AS,ASTAFJORD SLAKTERI AS,T470,2025-08-31T10:02:22+00:00,2025-08-31T12:27:03+00:00,2.41
2025,35,259000840,HARALD MARTIN,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-08-24T22:00:52+00:00,2025-08-27T05:02:15+00:00,55.02
2025,35,259000840,HARALD MARTIN,True,False,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2025-08-27T11:18:37+00:00,2025-08-27T15:31:14+00:00,4.21
