year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2024,28,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-08T02:10:53+00:00,2024-07-09T10:12:06+00:00,32.02
2024,28,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-10T01:13:49+00:00,2024-07-11T10:20:46+00:00,33.12
2024,28,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-12T00:59:43+00:00,2024-07-13T10:22:56+00:00,33.39
2024,28,257060720,Taupo,Processing vessel,320,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-14T00:47:49+00:00,2024-07-14T17:30:19+00:00,16.71
2024,28,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-07T22:03:49+00:00,2024-07-08T10:03:14+00:00,11.99
2024,28,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-08T23:45:04+00:00,2024-07-10T09:58:13+00:00,34.22
2024,28,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-10T22:52:56+00:00,2024-07-12T08:30:01+00:00,33.62
2024,28,257077570,Taupiri,Processing vessel,360,tonn,Z2311070948366250128SCXWX,MOWI AVD JØSNØYA,MOWI ASA,ST400,2024-07-12T10:38:03+00:00,2024-07-14T09:49:02+00:00,47.18
2024,28,258232000,Tauranga,Processing vessel,300,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-07-07T22:00:32+00:00,2024-07-08T04:56:23.389769+00:00,6.93
2024,28,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-07-09T01:52:32+00:00,2024-07-10T01:07:40.40555+00:00,23.25
2024,28,258232000,Tauranga,Processing vessel,300,tonn,Z0705302155132181190CIBOI,MOWI AVD RYFISK,MOWI ASA,R110,2024-07-11T01:03:33.599807+00:00,2024-07-11T23:47:33+00:00,22.73
2024,28,259004230,Volt Harvest II,Processing vessel,330,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2024-07-08T07:19:00+00:00,2024-07-08T19:19:23+00:00,12.01
2024,28,259004230,Volt Harvest II,Processing vessel,330,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2024-07-09T07:41:19+00:00,2024-07-09T17:07:59+00:00,9.44
2024,28,259004230,Volt Harvest II,Processing vessel,330,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2024-07-10T07:51:46+00:00,2024-07-10T17:36:48+00:00,9.75
2024,28,259004230,Volt Harvest II,Processing vessel,330,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2024-07-11T09:49:56+00:00,2024-07-11T19:37:46+00:00,9.8
2024,28,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-08T21:44:35+00:00,2024-07-09T13:26:30+00:00,15.7
2024,28,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-10T02:48:39+00:00,2024-07-10T13:09:21+00:00,10.35
2024,28,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-11T01:01:49+00:00,2024-07-13T09:29:54.752062+00:00,56.47
2024,28,257121000,SEIBRIS,Processing vessel,80,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-11T23:14:18+00:00,2024-07-12T08:13:05+00:00,8.98
2024,28,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-08T01:04:04.87434+00:00,2024-07-08T12:15:19+00:00,11.19
2024,28,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-09T01:38:15.653051+00:00,2024-07-09T19:32:40+00:00,17.91
2024,28,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-10T07:42:47+00:00,2024-07-10T19:41:47+00:00,11.98
2024,28,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-11T07:23:15.17298+00:00,2024-07-11T17:11:12.93597+00:00,9.8
2024,28,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY AUSTEVOLL AS,LERØY AUSTEVOLL AS,H72,2024-07-12T04:07:14+00:00,2024-07-14T19:55:01+00:00,63.8
2024,28,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-07-10T00:43:59.305001+00:00,2024-07-10T13:00:28.258091+00:00,12.27
2024,28,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-07-11T01:57:33.58543+00:00,2024-07-12T07:08:54+00:00,29.19
2024,28,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2024-07-12T07:48:35.855612+00:00,2024-07-14T08:00:53.57148+00:00,48.2
